adduser 3.118ubuntu5
libgpgme11 1.16.0-1.2ubuntu4.2
libgpm2 1.20.7-10build1
libgraphite2-3 1.3.14-1build2
libgsasl7 1.10.0-5
libgssapi-krb5-2 1.19.2-2ubuntu0.7
libgstreamer1.0-0 1.20.3-0ubuntu1.1
libgudev-1.0-0 1:237-2build1
libgusb2 0.3.10-1
libharfbuzz0b 2.7.4-1ubuntu3.2
libhavege2 1.9.14-1ubuntu1
libhogweed6 3.7.3-1build2
libhtml-form-perl 6.07-1
libhtml-format-perl 2.12-1.1
libhtml-parser-perl 3.76-1build2
libhtml-tagset-perl 3.20-4
libhtml-tree-perl 5.07-2
libhttp-cookies-perl 6.10-1
libhttp-daemon-perl 6.13-1ubuntu0.1
libhttp-date-perl 6.05-1
libhttp-message-perl 6.36-1
libhttp-negotiate-perl 6.01-1
libicu70 70.1-2
libidn12 1.38-4ubuntu1
libidn2-0 2.3.2-2build1
libimobiledevice6 1.3.0-6build3
libinih1 53-1ubuntu3
libintl-perl 1.26-3build2
libintl-xs-perl 1.26-3build2
libio-html-perl 1.004-2
libio-socket-ssl-perl 2.074-2
libip4tc2 1.8.7-1ubuntu5.2
libip6tc2 1.8.7-1ubuntu5.2
libisc-export1105 1:9.11.19+dfsg-2.1ubuntu3
libisns0 0.101-0ubuntu2
libjansson4 2.13.1-1.1build3
libjcat1 0.1.9-1
libjpeg-turbo8 2.1.2-0ubuntu1
libjpeg8 8c-2ubuntu10
libjson-c5 0.15-3~ubuntu1.22.04.2
libjson-glib-1.0-0 1.6.6-1build1
libjson-glib-1.0-common 1.6.6-1build1
libjson-perl 4.04000-1
libjson-xs-perl 4.040-0ubuntu0.22.04.1
libk5crypto3 1.19.2-2ubuntu0.7
libkeyutils1 1.6.1-2ubuntu3
libklibc 2.0.10-4ubuntu0.2
libkmod2 29-1ubuntu1
libkrb5-3 1.19.2-2ubuntu0.7
libkrb5support0 1.19.2-2ubuntu0.7
libksba8 1.6.0-2ubuntu0.2
liblcms2-2 2.12~rc1-2build2
libldap-2.5-0 2.5.18+dfsg-0ubuntu0.22.04.2
libldap-common 2.5.18+dfsg-0ubuntu0.22.04.2
libllvm14 1:14.0.0-1ubuntu1.1
liblmdb0 0.9.24-1build2
liblocale-gettext-perl 1.07-4build3
libltdl7 2.4.6-15build2
liblvm2cmd2.03 2.03.11-2.1ubuntu4
liblwp-mediatypes-perl 6.04-1
liblwp-protocol-https-perl 6.10-1
liblz4-1 1.9.3-2build2
liblzma5 5.2.5-2ubuntu1
liblzo2-2 2.10-2build3
libmagic-mgc 1:5.41-3ubuntu0.1
libmagic1 1:5.41-3ubuntu0.1
libmailtools-perl 2.21-1
libmailutils8 1:3.14-1
libmaxminddb0 1.5.2-1build2
libmbim-glib4 1.28.0-1~ubuntu20.04.1
libmbim-proxy 1.28.0-1~ubuntu20.04.1
libmd0 1.0.4-1build1
libmm-glib0 1.20.0-1~ubuntu22.04.3
libmnl0 1.0.4-3build2
libmodule-find-perl 0.15-1
libmodule-scandeps-perl 1.31-1ubuntu0.1
libmount1 2.37.2-4ubuntu3.5
libmpdec3 2.5.1-2build2
libmpfr6 4.1.0-3build3
libmspack0 0.10.1-2build2
libmysqlclient21 8.0.45-0ubuntu0.22.04.1
libncurses6 6.3-2ubuntu0.1
libncursesw6 6.3-2ubuntu0.1
libnet-http-perl 6.22-1
libnet-smtp-ssl-perl 1.04-1
libnet-snmp-perl 6.0.1-6
libnet-ssleay-perl 1.92-1build2
libnetfilter-conntrack3 1.0.9-1
libnetplan0 0.106.1-7ubuntu0.22.04.4
libnettle8 3.7.3-1build2
libnewt0.52 0.52.21-5ubuntu2
libnfnetlink0 1.0.1-3build3
libnftables1 1.0.2-1ubuntu3
libnftnl11 1.2.1-1build1
libnghttp2-14 1.43.0-1ubuntu0.2
libnl-3-200 3.5.0-0.1
libnl-genl-3-200 3.5.0-0.1
libnpth0 1.6-3build2
libnsl2 1.3.0-2build2
libnspr4 2:4.35-0ubuntu0.22.04.1
libnss-systemd 249.11-0ubuntu3.19
libnss3 2:3.98-0ubuntu0.22.04.3
libntfs-3g89 1:2021.8.22-3ubuntu1.2
libntlm0 1.6-4
libnuma1 2.0.14-3ubuntu2
libopeniscsiusr 2.1.5-1ubuntu1
libopennms-java 33.1.5-1
libopennmsdeps-java 33.1.5-1
libp11-kit0 0.24.0-6build1
libpackagekit-glib2-18 1.2.5-2ubuntu2
libpam-cap 1:2.44-1ubuntu0.22.04.2
libpam-modules 1.4.0-11ubuntu2.6
libpam-modules-bin 1.4.0-11ubuntu2.6
libpam-runtime 1.4.0-11ubuntu2.6
libpam-systemd 249.11-0ubuntu3.19
libpam0g 1.4.0-11ubuntu2.6
libparted-fs-resize0 3.4-2build1
libparted2 3.4-2build1
libpcap0.8 1.10.1-4build1
libpci3 1:3.7.0-6
libpcre2-8-0 10.39-3ubuntu0.1
libpcre3 2:8.39-13ubuntu0.22.04.1
libpcsclite1 1.9.5-3ubuntu1
libperl5.34 5.34.0-3ubuntu1.5
libpipeline1 1.5.5-1
libplist3 2.2.0-6build2
libplymouth5 0.9.5+git20211018-1ubuntu3
libpng16-16 1.6.37-3ubuntu0.4
libpolkit-agent-1-0 0.105-33
libpolkit-gobject-1-0 0.105-33
libpopt0 1.18-3build1
libpq5 14.22-0ubuntu0.22.04.1
libproc-processtable-perl 0.634-1build1
libprocps8 2:3.3.17-6ubuntu2.1
libpsl5 0.21.0-1.2build2
libpython3-stdlib 3.10.6-1~22.04.1
libpython3.10 3.10.12-1~22.04.15
libpython3.10-minimal 3.10.12-1~22.04.15
libpython3.10-stdlib 3.10.12-1~22.04.15
libqmi-glib5 1.32.0-1ubuntu0.22.04.1
libqmi-proxy 1.32.0-1ubuntu0.22.04.1
libreadline8 8.1.2-1
librtmp1 2.4+20151223.gitfa8646d.1-2build4
libsasl2-2 2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules 2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db 2.1.27+dfsg2-3ubuntu1.2
libseccomp2 2.5.3-2ubuntu2
libselinux1 3.3-1build2
libsemanage-common 3.3-1build2
libsemanage2 3.3-1build2
libsensors-config 1:3.6.0-7ubuntu1
libsensors5 1:3.6.0-7ubuntu1
libsepol2 3.3-1build1
libsgutils2-2 1.46-1ubuntu0.22.04.1
libsigsegv2 2.13-1ubuntu3
libslang2 2.3.2-5build4
